GKGRECORDID,V2DATE,V1Persons
20150425131500-87,2015-04-25T13:15:00.000+02:00,mamata banerjee;mohammadpur khala;sitanshu kar spokespersonmo;nitish kumar;sant kabir nagar;vikas swarup meaindia;anirudh kumar;sushil koirala
20150425134500-888,2015-04-25T13:45:00.000+02:00,yogeshwar misra
20150425140000-939,2015-04-25T14:00:00.000+02:00,robin trygg;carsten lillelund pedersen;glomnes johansen;thomas frese carlsen;muneeza naqvi;edmund hillary;jan m olsen;tenzing norgay;gyanendra shretha;jenny adhikari;ang tshering
20150425141500-841,2015-04-25T14:15:00.000+02:00,
20150425143000-1275,2015-04-25T14:30:00.000+02:00,laxmi dhakal;nawaz sharif;pushpa das;carsten lillelund pedersen;munir ahmed;seth borenstein;david a rothery;jan m olsen;jelle veyt;jenny adhikari;liz satow;ang tshering
20150425143000-1595,2015-04-25T14:30:00.000+02:00,dilip saha
20150425144500-1180,2015-04-25T14:45:00.000+02:00,dalbir singh
20150425144500-1640,2015-04-25T14:45:00.000+02:00,
20150425150000-544,2015-04-25T15:00:00.000+02:00,narayanan khadka;laxman khadkka
20150425150000-615,2015-04-25T15:00:00.000+02:00,bhimsen thapa
20150425151500-1297,2015-04-25T15:15:00.000+02:00,
20150425153000-875,2015-04-25T15:30:00.000+02:00,jonathan fowler
20150425160000-855,2015-04-25T16:00:00.000+02:00,ali al-maashi;hamed al-saggaf
20150425161500-921,2015-04-25T16:15:00.000+02:00,ed miliband;gyanendra shretha;david cameron;tanya barron;ang tshering
